User_ID,Screen_Time,Number_of_Apps,Age,Subscription_Type,City
U187,2.7,18,65,Free,Bengaluru
U188,6.0,26,25,Basic,Bengaluru
U189,8.5,34,24,Free,Patiala
U190,8.0,52,30,Free,Ludhiana
U191,3.1,21,23,Basic,Mumbai
U192,2.1,16,63,Premium,Pune
U193,1.1,12,52,Premium,Kolkata
U194,3.5,27,59,Basic,Jaipur
U195,4.6,28,39,Basic,Delhi
U196,4.6,35,22,Free,Jaipur
U197,4.7,32,46,Free,Kolkata
U198,3.9,24,40,Basic,Mumbai
U199,2.3,21,40,Basic,Pune
U200,4.1,27,34,Premium,Hyderabad
