Farm_ID,Crop,State,Rainfall,Fertilizer_Used,Yield,Temperature
1093,Maize,Gujarat,1441.4,249.7,3.09,29.5
1094,Sugarcane,Gujarat,374.3,46.0,6.24,36.1
1095,Cotton,Maharashtra,326.0,175.8,1.55,34.2
1096,Wheat,Haryana,311.4,228.9,2.22,31.6
1097,Cotton,Punjab,1430.0,299.8,5.4,18.6
1099,Cotton,UP,759.0,215.1,5.48,28.0
1100,Rice,Gujarat,732.4,44.8,7.79,19.4
1101,Millet,Gujarat,958.3,123.7,2.15,41.5
1102,Sugarcane,Bihar,1308.8,286.4,5.83,19.3
1103,Sugarcane,Haryana,846.9,241.4,4.04,39.7
1104,Sugarcane,UP,1288.2,104.4,4.39,40.5
1105,Millet,Gujarat,756.4,50.6,4.82,16.0
1106,Cotton,Maharashtra,437.8,269.5,3.44,34.7
1107,Maize,Haryana,237.4,225.2,3.59,31.5
1108,Wheat,Punjab,643.2,253.3,6.4,25.9
1109,Rice,Punjab,984.3,268.8,2.6,39.6
1110,Rice,Maharashtra,1297.3,179.6,2.03,23.1
1111,Rice,UP,1409.9,245.1,7.29,21.0
1112,Maize,Maharashtra,708.0,230.8,7.77,16.5
1113,Wheat,Punjab,264.8,73.4,5.05,19.6
1114,Wheat,UP,1226.7,44.6,3.72,20.9
1115,Millet,Bihar,223.8,158.8,7.85,15.3
1116,Maize,Gujarat,244.1,297.7,5.11,25.8
1117,Cotton,Punjab,1442.6,209.1,6.63,27.4
1120,Wheat,Haryana,572.4,62.6,4.15,32.7
1121,Millet,Haryana,1158.4,23.5,2.8,33.9
1122,Sugarcane,UP,814.2,151.1,6.95,32.4
1124,Wheat,Punjab,770.2,200.3,4.23,16.1
1125,Maize,UP,457.1,139.6,6.62,25.0
1126,Rice,Gujarat,375.2,160.9,4.38,19.5
1127,Sugarcane,Bihar,966.8,94.5,2.88,29.3
1128,Cotton,Bihar,491.1,249.5,2.57,21.9
1129,Rice,Maharashtra,797.1,41.6,6.51,17.1
1131,Millet,Bihar,1371.9,32.9,4.22,26.7
1132,Maize,Haryana,1156.4,64.7,1.8,19.4
1133,Millet,Punjab,1419.9,191.6,2.02,34.6
1134,Cotton,Haryana,219.8,88.6,7.26,34.5
1135,Rice,UP,916.2,255.7,7.21,20.9
1136,Cotton,Gujarat,1362.0,234.2,3.95,19.8
1137,Sugarcane,UP,518.4,265.2,2.99,29.8
1138,Sugarcane,UP,1171.5,104.6,6.15,17.7
1139,Cotton,Bihar,1281.5,243.9,3.05,32.9
1140,Wheat,UP,1242.5,47.7,4.14,34.8
1141,Cotton,Maharashtra,1242.1,253.0,5.12,30.4
1142,Cotton,Punjab,1361.5,247.5,2.74,37.5
1143,Wheat,UP,1310.9,133.0,7.21,35.4
1144,Maize,Haryana,388.8,100.3,3.63,38.0
1145,Wheat,Gujarat,1100.5,228.1,5.78,22.4
1146,Maize,Punjab,312.8,182.4,3.5,30.4
1147,Maize,Gujarat,635.6,74.9,4.73,22.1
1148,Maize,Punjab,752.3,164.1,4.45,38.6
1150,Sugarcane,Maharashtra,406.6,192.7,4.37,41.7
